Название работы,1 plan,2 plan,3 plan,4 plan,5 plan,6 plan,7 plan,8 plan,9 plan,10 plan,11 plan,12 plan,13 plan,14 plan,15 plan,16 plan,17 plan,18 plan,19 plan,20 plan,21 plan,22 plan,23 plan,24 plan,25 plan,26 plan,27 plan,28 plan,29 plan,30 plan,31 plan,1 fact,2 fact,3 fact,4 fact,5 fact,6 fact,7 fact,8 fact,9 fact,10 fact,11 fact,12 fact,13 fact,14 fact,15 fact,16 fact,17 fact,18 fact,19 fact,20 fact,21 fact,22 fact,23 fact,24 fact,25 fact,26 fact,27 fact,28 fact,29 fact,30 fact,31 fact
Валка леса_act,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,=3.52/26,0,0,0,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Захоронение лесопорубочных остатков_act,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,0.2
Грубая планировка площадей бульдозерами_act,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Засыпка траншей и котлованов с перемещением грунта_act,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Устройство лежневых временных дорог толщиной настила 160 мм, шириной проезжей части 6,5 м_act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Завоз трубы на трубосварочную базу_act,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,=7.58/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Сварка трубы в двухтрубные секции_act,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0
НК сварных соединений _act,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Завоз двухтрубных секций на автомобилях-плетевозах_act,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ручная электродуговая сварка на трассе двухтрубных секций Ду 377 мм электродами с основным покрытием, толщина стенки:9 мм_act",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,1,4,3,4,4,3,3,3,5,6,5,8,3,3,8,9,8,5,4,3,4,3,0,0,0,0,4,4,4,3
Рытье траншей одноковшовыми экскаваторами_act,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.06,0.03,0.1,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.12,0.13,0.12,0.08,0.15,0.12,0,0
Контроль радиографированием на трассе качества сварных соединений труб: Ду 350 мм_act,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М "" Д 377 мм _act",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,11,39,12,5,6,8,4,6,6,6,6,10,4,6,0,5,8,0,7,7,0,0,0,0,0,0,0,0,0,0
Укладка в траншею изолированных трубопроводов: Д 377 мм _act,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Обратная засыпка грунта одноковшовым экскаватором , группа грунтов 2 _act",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.02,0,0,0,0,0,0,0.35,0.12,0.06,0.06,0.15,0.06,0.05,0.05,0,0,0,0,0.32,0.1,0,0,0,0,0,0,0,0,0,0
"         Устройство лежневого настила шириной 3,5 м_act",0,0,0,0,0,=M60/10,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Устройство насыпи при доставке грунта автотранспортными средствами с перемещением (площадка)_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Устройство насыпи при доставке грунта автотранспортными средствами с перемещением (площадка)_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Устройство насыпи при доставке грунта автотранспортными средствами с перемещением (площадка)_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Разработка грунта в отвал экскаваторами_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=230/3,=230/3,=230/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Сборка и установка кранового узла с двусторонней продувкой на трубопроводе: Д 350 мм_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=1/10,=1/10,=1/10,=1/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,=D102/40,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,151.25,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
