Название работы,1 plan,2 plan,3 plan,4 plan,5 plan,6 plan,7 plan,8 plan,9 plan,10 plan,11 plan,12 plan,13 plan,14 plan,15 plan,16 plan,17 plan,18 plan,19 plan,20 plan,21 plan,22 plan,23 plan,24 plan,25 plan,26 plan,27 plan,28 plan,29 plan,30 plan,1 fact,2 fact,3 fact,4 fact,5 fact,6 fact,7 fact,8 fact,9 fact,10 fact,11 fact,12 fact,13 fact,14 fact,15 fact,16 fact,17 fact,18 fact,19 fact,20 fact,21 fact,22 fact,23 fact,24 fact,25 fact,26 fact,27 fact,28 fact,29 fact,30 fact
Расчистка от леса_act,0.25,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.35,0.35,0.4,0.3,0.8,1,0.5,0.5,1.2,1.4,0.6,0.6,0.6,0.6,0.6,0.6,1.2,1.2,1.2,0,1.2,0,0,0,0,0,0,0,0,0
Устройство лежневых дорог_act,0,0,0,0,0,0,171,171,171,171,171,171,100,171,100,171,100,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,375,505,380,375,0,0,0,0,0,0,40,0,0,0,0,20,0,162,130,0,0,0,0
Устройство вдольтрассового технологического проезда_act,0.9706,0.37,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.67,0.3,0.3,0.3,0.2,0.2,0.3,0.7,0.1,0,0.5,0.6,0.3,0.3,0.3,0.3,0.3,0.6,0.6,0.6,0,0.6,0,0,0,0,0,0,0,0,0
Устройство зимней дороги_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Временные переезды через коммуникации_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Постоянные переезды через трубопроводы сторонних организаций_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Подготовка трубосварочных баз_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Завоз трубы на трубосварочную базу Шингинское м.р_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Завоз трубы на трубосварочную базу З.Лугинецкое м.р_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Сварка трубы в двухтрубные секции на стеллаже Шингинское м.р._act,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
