Название работы,1 plan,2 plan,3 plan,4 plan,5 plan,6 plan,7 plan,8 plan,9 plan,10 plan,11 plan,12 plan,13 plan,14 plan,15 plan,16 plan,17 plan,18 plan,19 plan,20 plan,21 plan,22 plan,23 plan,24 plan,25 plan,26 plan,27 plan,28 plan,29 plan,30 plan,1 fact,2 fact,3 fact,4 fact,5 fact,6 fact,7 fact,8 fact,9 fact,10 fact,11 fact,12 fact,13 fact,14 fact,15 fact,16 fact,17 fact,18 fact,19 fact,20 fact,21 fact,22 fact,23 fact,24 fact,25 fact,26 fact,27 fact,28 fact,29 fact,30 fact
Валка леса_act,0,0,0,0,0,0,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,=3.28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
Захоронение лесопорубочных остатков_act,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Грубая планировка площадей бульдозерами_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Засыпка траншей и котлованов с перемещением грунта_act,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Устройство лежневых временных дорог толщиной настила 160 мм, шириной проезжей части 6,5 м_act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработка траншеи экскаватором захоронка_act,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
   Завоз трубы на трубосварочную базу_act,"=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)","=ROUND(6.22/25,2)-0.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Сварка трубы в двухтрубные секции_act,"=ROUND(841/27,0)+1","=ROUND(841/27,0)+1","=ROUND(841/27,0)+1","=ROUND(841/27,0)+1","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)","=ROUND(841/27,0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,12
НК сварных соединений _act,"=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)","=ROUND(843/27,0)+1","=ROUND(843/27,0)+1","=ROUND(843/27,0)+1","=ROUND(843/27,0)+1","=ROUND(843/27,0)+1","=ROUND(843/27,0)+1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Завоз двухтрубных секций на автомобилях-плетевозах_act,0,0,0,0,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,=6.86/25,0.12,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
